sampleID,cluster
sample_0,A
sample_1,A
sample_2,B
sample_3,C
sample_4,A
sample_5,B
sample_6,A
sample_7,B
sample_8,A
sample_9,D
sample_10,D
sample_11,E
sample_12,E
sample_13,D
sample_14,0
sample_15,E
sample_16,E
sample_17,D
sample_18,D
sample_19,D
sample_20,D
sample_21,E
sample_22,E
sample_23,D
sample_24,D
sample_25,E
sample_26,D
sample_27,C
sample_28,A
sample_29,D
sample_30,D
sample_31,C
sample_32,C
sample_33,C
sample_34,C
sample_35,C
sample_36,C
sample_37,D
sample_38,C
sample_39,C
sample_40,C
sample_41,C
sample_42,0
sample_43,C
sample_44,C
sample_45,D
sample_46,C
sample_47,A
sample_48,B
sample_49,B
sample_50,B
sample_51,A
sample_52,B
sample_53,B
sample_54,B
sample_55,B
sample_56,B
sample_57,B
sample_58,B
sample_59,B
sample_60,B
sample_61,0
sample_62,B
sample_63,B
sample_64,B
sample_65,B
sample_66,B
sample_67,B
sample_68,B
sample_69,B
sample_70,B
sample_71,B
sample_72,B
sample_73,B
sample_74,B
sample_75,F
sample_76,F
sample_77,F
sample_78,F
sample_79,A
sample_80,A
sample_81,A
sample_82,A
sample_83,A
sample_84,A
sample_85,A
sample_86,A
sample_87,A
sample_88,A
sample_89,A
sample_90,A
sample_91,A
sample_92,A
sample_93,A
sample_94,A
sample_95,A
sample_96,A
sample_97,A
sample_98,F
sample_99,A
sample_100,0
sample_101,A
sample_102,A
sample_103,A
sample_104,0
sample_105,A
sample_106,A
sample_107,C
sample_108,C
sample_109,C
sample_110,D
sample_111,C
sample_112,D
sample_113,C
sample_114,D
sample_115,0
sample_116,E
sample_117,E
sample_118,D
sample_119,D
sample_120,D
sample_121,E
sample_122,C
sample_123,C
sample_124,D
sample_125,C
sample_126,D
sample_127,C
sample_128,C
sample_129,D
sample_130,B
sample_131,D
sample_132,B
sample_133,B
sample_134,B
sample_135,0
sample_136,B
sample_137,B
sample_138,B
sample_139,B
sample_140,A
sample_141,A
sample_142,A
